year,Gemma-3-27B-Instruct_z,Gemma-4-31B-Instruct_z,Llama-3.1-8B-Instruct_z,Mistral-7B-Instruct_z,Mixtral-8x7B-Instruct_z,Qwen2.5-32B-Instruct_z
1987,-0.2668355651791744,-0.12283330076412698,0.16804919757157227,2.5371783930740226,1.3402563723734429,-1.9199228034752638
1988,1.8985638414548278,1.3380055976092633,0.04278553189705475,1.0682523302080467,1.2850117988449523,1.2445091303943105
1989,1.138370432742895,1.2274556269215464,-1.1344609556921712,1.2601120608680927,0.5996338085071372,0.0992861448034157
1990,-0.7217998022113341,-0.12480740738355026,-0.6264472004566235,-1.204086354796873,-0.2221292227291394,-0.7264799027015999
1991,-0.7217998022113341,1.2570672262128957,-0.6809600920001632,0.9315522721127633,0.8844886407634122,0.6086089989214685
1992,-0.84849870366331,-0.8039000844652335,-0.9245283308117282,0.7049179652705851,1.0364112179667557,0.6116227436203916
1993,1.835214390728827,1.7525679876881963,0.29911210702731944,1.1953594017703237,0.31477897625086226,0.4940867003623784
1994,-0.059510090075915345,0.7813075309318367,-0.08827737755869243,-0.2411903315467652,1.3143604785319627,-0.3346930918415536
1995,-1.2919448587452902,-0.19390113906337386,-0.5823729477192927,0.8248302969331112,0.48396548268186446,2.208907434049801
1996,-0.7448359661116933,0.058784508222832446,-1.0509518452424913,-1.1513249288653609,-0.25665708118444125,-1.0851155218734858
1997,0.06718881137606068,0.5641558027952495,-0.4455107944823184,-0.5217851876370831,-0.11681925444045718,0.59052653072793
1998,-2.4610301766886384,-0.9795955735939275,-0.002448569596521529,0.40273888948100905,-1.2942192277663813,0.36449567830867285
1999,-0.7678721300120526,-1.7238337691165835,-1.5682443905280024,-0.33592107356016565,-1.263144155156602,-1.0127856490993186
2000,-0.08830529495137723,-0.30445110975109074,-0.8700154392681861,-0.14166309626686943,-0.8470834607701723,1.1661517682222973
2001,-1.0615832197416717,-1.3625722577620836,-1.1321412581796804,-1.4571013746048045,-1.100863220416668,-0.6330538170349713
2002,-1.1940411621687503,-1.9449337104920172,-1.7839762591896724,0.21207828213759095,-1.566989309563297,-1.9199228034752638
2003,1.2074789244439728,-0.17810828610798762,-1.3269958492289304,1.6498271387713077,0.36311797808829255,0.316275763125897
2004,-0.8312215807380534,0.4082013798607927,0.2933128632460898,-1.0062310075536987,-0.6796233472619391,-0.6390813064328175
2005,-0.059510090075915345,-0.7111170733523305,-0.562655518863118,0.8679987363316221,-1.4357834474331344,-0.2683907084652393
2006,0.4472855157320399,0.015354162595515872,0.09613857468434892,-0.07691043716910045,-0.43792833807479525,-0.027291132551366743
2007,0.6142977040096574,-0.4900171319768967,-0.3457638014452026,0.021417674794172822,-1.3960764102095335,-1.5462184608087628
2008,0.5567072942587592,0.8642200089476233,0.33390756971468444,-0.2783631543621529,-0.6951608835668287,0.6598426588031675
2009,0.29179140940460196,0.058784508222832446,-0.005928115865257769,0.19409143238821097,-0.3015432971763414,0.3403857207172883
2010,-1.3380171865460087,-0.5433180107013341,0.40001894882068073,-0.25677893466289486,-0.2842793679486904,1.2776603220824643
2011,0.5106349664580407,-0.11493687428643384,0.326948477177212,-0.8743274427249157,-1.5359142369535175,0.11435486829803106
2012,-0.9636795231651321,-1.4040284967699768,0.10773706224680306,-1.4223267984226724,-0.6140204161968579,1.063684448458906
2013,-0.14589570470227542,-1.2184624745441708,-0.043043276065116154,-1.0410055837358307,-0.4275699805382047,-0.5245590078737273
2014,-0.42808871248171493,-1.200695514969357,-0.15322890790844332,-1.753284833811252,-0.8971488555303638,-1.9199228034752638
2015,-0.15741378665245506,-1.3941579636728605,0.332747720958439,-0.9115002655403035,0.3976458365436021,-1.3473113106798198
2016,-0.272594606154277,0.3943826335248297,0.5392007995701458,-0.8683318261417926,-0.020141250765596592,0.696007595190251
2017,0.8216231791129165,1.0063556855461127,1.1968350443613673,-0.7771984540782703,1.255663119157942,1.2505366197921566
2018,1.0980571459172535,1.2945752519819425,1.2084335319238242,0.552629304059172,1.255663119157942,0.9491621498998158
2019,0.3551408601305772,0.6628611337664266,1.4740388971040521,-0.349111430043045,0.7757258866291921,-0.11770347351907232
2020,0.9483220805648925,1.1050610165172898,1.8417109528338893,0.05379400434305464,0.6790478829543392,0.06312120841633213
2021,0.7352375644865564,0.6016638285642961,2.1154352593078354,0.8224320502998609,1.4421135548165949,-0.23222577207816245
2022,1.8985638414548278,1.4248662888638965,2.55153839165616,1.3692322826809897,1.9652106104144758,0.13545108119049926
2023,4.346156255868269,2.53234010236048,3.2845628056033407,2.552766996190147,3.0890924031346785,1.898491730060691
2024,5.8435069093918015,3.511496985594533,3.7937364095951343,3.787864012314194,4.244049268464653,2.7242577775657
