year,Gemma-3-27B-Instruct_z,Gemma-4-31B-Instruct_z,Llama-3.1-8B-Instruct_z,Mistral-7B-Instruct_z,Mixtral-8x7B-Instruct_z,Qwen2.5-32B-Instruct_z
1987,1.0270986287956618,-0.020709557670286205,0.09751826799880893,0.3769362033399339,0.4971404586294247,1.9521938938492618
1988,1.1354360171245195,1.9146757415395472,-1.441732733940967,-1.3684004247315331,1.3746912195151373,1.081898273059779
1989,1.3196095772836018,1.0361791100721267,-0.7845971852684656,-0.016053500994037302,0.7585385576166626,2.075329245471755
1990,1.0632110915719477,1.202790540178017,-0.49001918069114087,-1.457015750218604,1.0323841851270952,2.0607199664657028
1991,0.89348251652338,2.143556089967838,-0.9043706596570508,0.8103807301788726,0.753559546207377,1.3803449727549724
1992,-0.6918545993557396,0.3815139958176673,-1.1261134433224032,1.5347146950297197,0.32287505930460497,0.24499528999843534
1993,2.1321399897501228,1.640355912173284,-0.31197752957297337,-0.16438785017892382,0.8531397743929898,1.3490393748848553
1994,1.5507293390518635,1.2196199775624486,0.01659024476328088,-0.014127080874757615,0.06521121887432993,0.6394458231620115
1995,-0.9121406222911076,0.3108303588030476,-0.7975456689861489,1.4788485115704804,0.5307487856420681,-0.23084979762747135
1996,-0.7893582488517196,0.27380559655729464,-1.1325876851812449,-1.7267145669183845,0.8369579873128322,0.21160265227030545
1997,-0.18989136676530938,1.4266220573909782,-0.07404914126051687,-0.301163678648098,0.5021194700387047,0.37021768147893175
1998,-0.5112922854742941,-0.5424221165877219,-1.5793103734413703,-0.006421400397621764,-0.39161307792716527,-0.3080702723737764
1999,-0.5149035317519146,-1.091061775320248,-0.6081740946150122,1.9662328017493786,0.07641399454521289,-1.000967505232546
2000,-0.5871284573045025,-0.155345056745753,-0.5919884899679079,-0.15668216970178797,0.011686846224566198,0.4390899967932136
2001,-1.9485683039706334,-0.9614751074601107,-0.834772559674492,-0.2934579981709622,-0.7339201123152129,-1.2117585308913892
2002,-1.067424212229161,-1.2290631618726011,-2.0098474570543883,0.9818321207951667,-1.3040169186778439,-1.7230832961034386
2003,0.04483964128057304,0.06175468551343553,-0.9480717922042357,1.5713166772961191,1.2041600787472748,-0.9967934255165297
2004,-1.1143704138383408,0.04660819186744719,0.10884819125177826,-0.08925746552683644,0.09757479303465603,-0.03258101111667689
2005,0.7743113893616285,0.5413936509697851,-0.6178854574032746,1.6194771802782226,-0.9019617473784353,-0.7380004831234952
2006,1.4640594283887614,0.7046391935987891,-0.027110887783911172,0.2825416174950069,-1.046353078247569,0.5977050260018492
2007,-0.041830269382529164,-0.7258629840780437,-0.11613171334298772,0.5137120318091081,-1.0127447512349255,-0.5543409756187622
2008,0.9476512106878169,0.6995903623834597,0.7951178282890743,-1.555263176302099,-1.2231079832770342,-0.7025208055373525
2009,-1.006033025509467,-0.25127284983702364,0.6526845073945432,-0.04302338266402134,-0.6119343327878342,-0.8465265557399266
2010,-0.8001919876846133,-0.09812496963868224,0.6462102655357015,-0.2568560159045626,-0.4737667661802978,-0.8715710340360333
2011,0.012338424781907708,-0.7140823779089417,0.7433238934183337,-0.719196844532765,-1.786981025378068,-0.31641843180580886
2012,-1.5621649522643342,-1.6228719966683427,0.3419208981701071,-1.0678788861232007,-1.0388845611336488,-0.8945284724741273
2013,-0.3885099120349059,-1.6413843777912172,-0.2747506388846302,-1.0736581464810484,-1.8579319379603174,-1.4601162739943878
2014,-1.3816026383828726,-1.0506711255976087,0.2529000726110234,-1.5803066378527861,-1.5703940290743563,-1.4058532376861674
2015,-0.8868618983476995,-1.927484813326586,0.762746618994866,-0.34739776151092167,-0.7127593138257697,-0.7755672005676506
2016,-0.3560086955362406,-0.47510436704998854,0.7740765422478353,-0.8656047735983633,-0.401571100745731,-0.47712050087245717
2017,1.0559885990166906,0.058388798036549235,1.6610476769092446,-0.728828945129189,0.3788889376590087,0.45161223594126226
2018,0.6479177696446198,0.3259768524490397,1.2321291537609373,0.5657253750297794,0.5942311811103975,0.647793982594044
2019,0.08817459661211612,-0.41620133620447086,1.38103671651431,-0.19328415196818755,0.5133222457095877,-0.1431941235911211
2020,0.03761714872531586,-0.3859083489124905,1.7063673699211364,0.14961862926440062,0.8805243371440358,0.5017011925334663
2021,-0.272950031150775,-0.7359606465087026,1.6820889629504836,0.7391031857653532,1.624886542831492,0.05507466291967337
2022,0.8284800835260654,0.05670585429810608,1.816429481521459,1.4345408488269449,2.1588855164768397,0.631097663729979
2023,2.291034825965797,0.9469830919346286,3.3653918462494974,2.172359754512784,3.3389112204763483,2.0648940461817187
2024,3.233570104426963,1.7413325364798842,4.011197471669029,3.3571081278725536,4.33346874948016,2.9017970292430624
