year,Gemma-3-27B-Instruct_z,Gemma-4-31B-Instruct_z,Llama-3.1-8B-Instruct_z,Mistral-7B-Instruct_z,Mixtral-8x7B-Instruct_z,Qwen2.5-32B-Instruct_z
1987,1.1814556309966353,0.4280124016141783,-0.49144014004736897,-1.8746130075732321,-2.0791335893663536,2.555167007912644
1988,-0.4424871657074605,2.529940957267687,-0.552570498931312,-0.7251619802892043,-0.4458767123780627,1.380575218622038
1989,-0.45142630036820935,0.7508017913712688,-1.0829662598360985,-0.15747392191628065,0.03074863100159955,0.22374183651293494
1990,1.121861399924932,0.08433663957869036,-1.1351068600606395,-1.9997233234680922,0.20463149243001236,2.0858376752587313
1991,-1.062267168853242,1.5463826990666807,-0.46806676753291926,0.3867559522263628,0.20463149243001236,1.7915554991081677
1992,-1.884667557642841,0.2267437232950539,-1.0092502388289926,-0.5812851170101173,-0.7517242454262477,0.297312380550573
1993,0.8566670716558188,2.000186605842823,0.22414464924112718,-0.4968356537810822,-0.11208371945745063,0.5992053026360584
1994,-0.6063713011546514,0.9102977251335939,-0.47166267099668013,0.8434086052426,-0.5824989606432418,0.2009095987081468
1995,-2.7577230428433883,0.5343430241223965,-0.7323656721193763,0.08179955723264394,-0.24870596772262965,0.6499436088689197
1996,-0.5706147625116293,0.4375062071952723,-0.8726059072060668,-1.3710439860964208,-0.2921766830797346,1.2258233846118287
1997,-0.9162613027275487,1.2159982648447185,-0.07431533825105831,0.9606995263940357,-0.4272464057964493,0.6753127619853446
1998,-1.4704876516944563,-0.7359281626275551,-1.884852732254864,-0.6610429433930921,-1.087069763895331,-1.1081387020995286
1999,0.49016255056480995,-0.6163062123058113,-0.7647288032932282,1.3110084108996398,-0.5685262307070351,0.2694063121224999
2000,-0.6749046668871169,-0.5897235566787556,-0.18938424909142262,0.32889243112499295,-0.3558302305669242,0.5712992342079853
2001,-1.345339766443866,-0.7587132960221747,-0.7521431411700612,-0.8189947172103528,-0.7113585811660853,-0.5271850957333346
2002,-0.803032263691299,-1.6758149151555486,-1.9118220082330746,-0.6907566434181216,-1.6894496767008944,-2.178716963612781
2003,-0.38289293463574386,-0.08845062199716049,-1.1440966187200416,0.6979678630148239,1.2417185588066042,-0.23797675020605602
2004,0.7196003401908878,0.2400350511085838,0.7617322170734355,-0.5593908117285122,-1.1926415011911544,0.17554044559172183
2005,0.46930456968970713,0.0919316840435664,-0.8744038589379473,0.516557904967283,-0.4520868145719339,-0.11366789993555672
2006,1.819113903463941,0.8362460416010852,0.2906688633207115,0.23036805735779115,0.1689234048152498,0.1450974618520006
2007,-0.5140002429935046,-0.1757936333431949,-0.11566822808431648,1.1233429370573496,-0.6244171504518754,0.01317786564657944
2008,1.083125149728318,0.5191529351926528,-0.06712353132353653,-0.801792048774808,0.5120315510266686,-0.8620579168701781
2009,-0.06406379840209768,0.109020534089528,0.25470982868309866,-0.1387073745320468,0.366094149470676,-0.258272072699196
2010,-0.16537399122400667,0.01788000051105769,0.6808243891388116,0.38362819432899165,0.40801233927931657,-0.5297220110449714
2011,0.5110205314398996,-0.5878247955625376,1.0224352181961276,-0.7235981013405222,-1.2143768588697035,-0.3648225157881922
2012,-0.2607247609387453,-1.759360404269147,0.21875079404548584,-0.3263728483743369,0.041616309840877504,-0.15172162961019983
2013,0.37097408842138996,-1.7118913763636898,0.06592489683562822,-0.7673867119037183,-0.8961091214337692,-1.3770517251336616
2014,-0.4365277426002769,-1.2049221583334409,0.4434947605305612,-1.2021450596383574,-0.10742614281205072,-1.4556960997945902
2015,0.41269005017158233,-1.9777179326342331,0.2511139252193338,-0.1887515008899922,0.20463149243001236,-1.1461924317741716
2016,0.2964812995817541,-0.48719045640297337,0.9523151006527865,-0.27632872201639147,0.5958679306439361,-0.6007556397709727
2017,1.3483194779974312,0.2533263789221095,1.2993197849057478,0.2991787310999635,1.573959026178752,0.7412725600880609
2018,1.1308005345856942,0.45649381835745184,1.4431559234561993,0.7308093209372245,1.4419943545589728,-0.10859406931227172
2019,0.7196003401908878,-0.25554160022435746,1.373035805912858,0.7073511367069444,1.2696640186790313,-0.6438832000689008
2020,0.6927829362086146,-0.3295932837568662,1.4539436338474818,1.134290089698152,1.185827639061757,-0.4713729588771884
2021,0.5169799545470699,-0.5821285122138838,1.8315134975424228,2.0006790272700594,1.955880311101869,-0.9609976140242412
2022,1.068226591960399,0.3482644347330157,2.027490236317411,2.624666727795671,2.432505654481531,-0.5043528579285464
2023,2.0872879432866327,1.310936320655629,3.4640536700900406,3.4081700810872317,3.6838412465467054,1.1294206027694025
2024,2.552122945645972,2.153986256256494,4.228183156139313,4.4762994030395955,5.011250590486811,1.360279896128898
